Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8999,09,041500,003,3282,5440,1,1,12,12,Plainville town,66,66,3675190,0,0,0,0,0,0,0,0,0,66,66,3675190,0,0,0,0,0,0,0,0,0
8999,09,041600,005,3282,1170,1,1,12,12,Plymouth town,34,34,2720000,0,0,0,0,0,0,0,0,0,34,34,2720000,0,0,0,0,0,0,0,0,0
8999,09,041800,015,9999,9999,1,1,12,12,Pomfret town,24,24,3016230,0,0,0,0,0,0,0,0,0,24,24,3016230,0,0,0,0,0,0,0,0,0
8999,09,042000,007,3282,5020,1,1,12,12,Portland town,40,40,3505293,0,0,0,0,0,0,0,0,0,40,40,3505293,0,0,0,0,0,0,0,0,0
8999,09,042100,011,5520,9999,1,1,12,12,Preston town,23,23,2162000,0,0,0,0,0,0,0,0,0,23,23,2162000,0,0,0,0,0,0,0,0,0
8999,09,042200,009,8880,9999,1,1,11,11,Prospect town,51,51,6538778,0,0,0,0,0,0,0,0,0,46,46,6086400,0,0,0,0,0,0,0,0,0
8999,09,042300,015,9999,9999,1,1,12,12,Putnam town,71,71,3557776,1,2,100000,1,4,200000,0,0,0,71,71,3557776,1,2,100000,1,4,200000,0,0,0
8999,09,042400,001,5602,1930,1,1,9,9,Redding town,19,19,2146905,0,0,0,0,0,0,3,26,920810,10,10,1424750,0,0,0,0,0,0,3,26,920810
8999,09,042500,001,5602,1930,1,1,12,12,Ridgefield town,26,26,2914500,0,0,0,0,0,0,0,0,0,26,26,2914500,0,0,0,0,0,0,0,0,0
8999,09,043500,003,3282,3280,1,1,12,12,Rocky Hill town,68,68,4968440,0,0,0,0,0,0,0,0,0,68,68,4968440,0,0,0,0,0,0,0,0,0
8999,09,043600,005,9999,9999,1,1,12,12,Roxbury town,15,15,2062410,0,0,0,0,0,0,0,0,0,15,15,2062410,0,0,0,0,0,0,0,0,0
8999,09,043700,011,5520,9999,1,1,12,12,Salem town,23,23,2939000,0,0,0,0,0,0,0,0,0,23,23,2939000,0,0,0,0,0,0,0,0,0
8999,09,043900,005,9999,9999,1,1,12,12,Salisbury town,15,15,1624350,0,0,0,0,0,0,0,0,0,15,15,1624350,0,0,0,0,0,0,0,0,0
8999,09,043950,015,9999,9999,1,1,12,12,Scotland town,12,12,642000,0,0,0,0,0,0,0,0,0,12,12,642000,0,0,0,0,0,0,0,0,0
8999,09,044000,009,5602,1160,1,1,12,12,Seymour town,50,50,5117000,1,2,55000,0,0,0,0,0,0,50,50,5117000,1,2,55000,0,0,0,0,0,0
8999,09,044250,005,9999,9999,1,1,12,12,Sharon town,16,16,3080600,0,0,0,0,0,0,0,0,0,16,16,3080600,0,0,0,0,0,0,0,0,0
8999,09,044500,001,5602,1160,1,1,12,12,Shelton,163,163,11154980,3,6,211360,0,0,0,0,0,0,163,163,11154980,3,6,211360,0,0,0,0,0,0
8999,09,044700,001,5602,1930,1,1,12,12,Sherman town,20,20,4178500,0,0,0,0,0,0,0,0,0,20,20,4178500,0,0,0,0,0,0,0,0,0
8999,09,045000,003,3282,3280,1,1,12,12,Simsbury town,33,33,3140035,0,0,0,0,0,0,0,0,0,33,33,3140035,0,0,0,0,0,0,0,0,0
8999,09,045500,013,3282,3280,1,1,12,12,Somers town,33,33,6411000,1,2,220000,0,0,0,0,0,0,33,33,6411000,1,2,220000,0,0,0,0,0,0
8999,09,046000,009,8880,9999,1,1,12,12,Southbury town,61,61,5651451,0,0,0,0,0,0,5,190,12001267,61,61,5651451,0,0,0,0,0,0,5,190,12001267
8999,09,046500,003,3282,5440,1,1,12,12,Southington town,133,133,7341000,0,0,0,0,0,0,0,0,0,133,133,7341000,0,0,0,0,0,0,0,0,0
8999,09,047000,003,3282,3280,1,1,12,12,South Windsor town,60,60,7334230,0,0,0,0,0,0,0,0,0,60,60,7334230,0,0,0,0,0,0,0,0,0
