Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,09,517000,001,    ,5602,1930, ,06875      ,1,1,12,,Redding town,25,25,9979364,0,0,0,0,0,0,1,9,1000000,25,25,9979364,0,0,0,0,0,0,1,9,1000000
2002,09,521000,001,    ,5602,1930, ,06877      ,1,1,12,,Ridgefield town,52,52,21159895,0,0,0,0,0,0,0,0,0,52,52,21159895,0,0,0,0,0,0,0,0,0
2002,09,525000,003,    ,3280,9999, ,06067      ,1,1,12,,Rocky Hill town,109,109,14412160,0,0,0,1,4,287000,0,0,0,109,109,14412160,0,0,0,1,4,287000,0,0,0
2002,09,529000,005,    ,5602,1930, ,06783      ,1,1,12,,Roxbury town,17,17,5227500,0,0,0,0,0,0,0,0,0,17,17,5227500,0,0,0,0,0,0,0,0,0
2002,09,533000,011,    ,5520,9999, ,064203809  ,1,1,12,,Salem town,34,34,6802113,0,0,0,0,0,0,0,0,0,34,34,6802113,0,0,0,0,0,0,0,0,0
2002,09,537000,005,    ,9999,9999, ,06068      ,1,1,12,,Salisbury town,18,18,8630500,0,0,0,0,0,0,0,0,0,18,18,8630500,0,0,0,0,0,0,0,0,0
2002,09,541000,015,    ,9999,9999, ,06264      ,1,1,12,,Scotland town,16,16,2009000,0,0,0,0,0,0,0,0,0,16,16,2009000,0,0,0,0,0,0,0,0,0
2002,09,545000,009,    ,5602,1160, ,06483      ,1,1,12,,Seymour town,122,122,15558200,0,0,0,0,0,0,0,0,0,122,122,15558200,0,0,0,0,0,0,0,0,0
2002,09,549000,005,    ,9999,9999, ,06069      ,1,1,12,,Sharon town,10,10,2345000,0,0,0,0,0,0,0,0,0,10,10,2345000,0,0,0,0,0,0,0,0,0
2002,09,553000,001,2030,5602,1160, ,06484      ,1,1,12,,Shelton,141,141,18008366,0,0,0,0,0,0,0,0,0,141,141,18008366,0,0,0,0,0,0,0,0,0
2002,09,557000,001,    ,5602,1930, ,06784      ,1,1,12,,Sherman town,40,40,7158700,0,0,0,0,0,0,0,0,0,40,40,7158700,0,0,0,0,0,0,0,0,0
2002,09,561000,003,    ,3280,9999, ,06070      ,1,1,12,,Simsbury town,34,34,7454855,1,2,27000,0,0,0,0,0,0,34,34,7454855,1,2,27000,0,0,0,0,0,0
2002,09,565000,013,    ,3280,9999, ,06071      ,1,1,12,,Somers town,48,48,7613228,0,0,0,0,0,0,0,0,0,48,48,7613228,0,0,0,0,0,0,0,0,0
2002,09,569000,003,    ,3280,9999, ,06074      ,1,1,12,,South Windsor town,95,95,11628349,0,0,0,0,0,0,12,72,1196000,95,95,11628349,0,0,0,0,0,0,12,72,1196000
2002,09,573000,009,    ,5602,8880, ,06488      ,1,1,12,,Southbury town,113,113,16437578,0,0,0,0,0,0,0,0,0,113,113,16437578,0,0,0,0,0,0,0,0,0
