Survey , FIPS , FIPS , Region , Division , County ,   , 1-unit ,   ,   , 2-unit ,   ,   , 34unit ,   ,   , 5-unit ,   ,   , 1-unit rep ,   ,   , 2-unit rep ,   ,   , 34-unit rep ,   ,   , 5-unit rep ,   ,  
Date , State , County , Code , Code , Name , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  ,  Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value 
9099  ,     02  , 060  , 4  , 9  , Bristol Bay Borough  , 17  , 17  , 1407311  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 17  , 17  , 1407311  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 070  , 4  , 9  , Dillingham Census Area  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 090  , 4  , 9  , Fairbanks North Star Borough  , 20  , 20  , 1654200  , 3  , 6  , 376381  , 0  , 0  , 0  , 0  , 0  , 0  , 20  , 20  , 1654200  , 3  , 6  , 376381  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 100  , 4  , 9  , Haines Borough  , 9  , 9  , 624000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 9  , 9  , 624000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 110  , 4  , 9  , Juneau Borough  , 35  , 35  , 4428896  , 0  , 0  , 0  , 1  , 3  , 141000  , 0  , 0  , 0  , 35  , 35  , 4428896  , 0  , 0  , 0  , 1  , 3  , 141000  , 0  , 0  , 0
9099  ,     02  , 122  , 4  , 9  , Kenai Peninsula Borough  , 24  , 24  , 1790500  , 1  , 2  , 254000  , 0  , 0  , 0  , 0  , 0  , 0  , 24  , 24  , 1790500  , 1  , 2  , 254000  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 130  , 4  , 9  , Ketchikan Gateway Borough  , 84  , 84  , 6942532  , 15  , 30  , 1878030  , 2  , 7  , 383665  , 3  , 26  , 1199666  , 84  , 84  , 6942532  , 15  , 30  , 1878030  , 2  , 7  , 383665  , 3  , 26  , 1199666
9099  ,     02  , 150  , 4  , 9  , Kodiak Island Borough  , 39  , 39  , 4928791  , 14  , 28  , 2241066  , 2  , 8  , 440000  , 0  , 0  , 0  , 39  , 39  , 4928791  , 14  , 28  , 2241066  , 2  , 8  , 440000  , 0  , 0  , 0
9099  ,     02  , 170  , 4  , 9  , Matanuska-Susitna Borough  , 3  , 3  , 248349  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 3  , 3  , 248349  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 180  , 4  , 9  , Nome Census Area  , 9  , 9  , 662016  , 1  , 2  , 82390  , 0  , 0  , 0  , 1  , 14  , 850000  , 9  , 9  , 662016  , 1  , 2  , 82390  , 0  , 0  , 0  , 1  , 14  , 850000
9099  ,     02  , 185  , 4  , 9  , North Slope Borough  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 188  , 4  , 9  , Northwest Arctic Borough  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 201  , 4  , 9  , Prince of Wales-Outer Ketchikan Census A  , 10  , 10  , 813034  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 10  , 10  , 813034  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 220  , 4  , 9  , Sitka Borough  , 28  , 28  , 2238222  , 1  , 2  , 149400  , 3  , 12  , 618540  , 0  , 0  , 0  , 28  , 28  , 2238222  , 1  , 2  , 149400  , 3  , 12  , 618540  , 0  , 0  , 0
9099  ,     02  , 231  , 4  , 9  , Skagway-Yakutat-Angoon Census Area  , 14  , 14  , 689500  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 14  , 14  , 689500  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     02  , 261  , 4  , 9  , Valdez-Cordova Census Area  , 13  , 13  , 1869821  , 2  , 4  , 470000  , 0  , 0  , 0  , 1  , 8  , 625000  , 13  , 13  , 1869821  , 2  , 4  , 470000  , 0  , 0  , 0  , 1  , 8  , 625000
9099  ,     02  , 270  , 4  , 9  , Wade Hampton Census Area  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
