Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,04,337000,001,0345,9999,9999, ,85938      ,4,8,0,,Springerville town,2,2,161372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,341000,001,0295,9999,9999, ,85936      ,4,8,12,,St. Johns,2,2,305389,0,0,0,0,0,0,0,0,0,2,2,305389,0,0,0,0,0,0,0,0,0
2001,04,345000,021,0355,6200,9999, ,85273      ,4,8,12,,Superior town,17,17,1360000,0,0,0,0,0,0,0,0,0,17,17,1360000,0,0,0,0,0,0,0,0,0
2001,04,349000,013,0356,6200,9999, ,85374      ,4,8,12,,Surprise,3226,3226,323666634,0,0,0,0,0,0,14,192,9074567,3226,3226,323666634,0,0,0,0,0,0,14,192,9074567
2001,04,353000,017,0358,9999,9999, ,85939      ,4,8,12,,Taylor town,23,23,1799000,0,0,0,0,0,0,0,0,0,23,23,1799000,0,0,0,0,0,0,0,0,0
2001,04,357000,013,0360,6200,9999, ,85281      ,4,8,12,,Tempe,25,25,3449200,0,0,27900,2,8,942450,6,259,20317150,25,25,3449200,0,0,27900,2,8,942450,6,259,20317150
2001,04,361000,009,0365,9999,9999, ,85552      ,4,8,12,,Thatcher town,21,21,2437766,0,0,0,0,0,0,0,0,0,21,21,2437766,0,0,0,0,0,0,0,0,0
2001,04,365000,013,0370,6200,9999, ,85353      ,4,8,12,,Tolleson,6,6,311873,0,0,0,0,0,0,0,0,0,6,6,311873,0,0,0,0,0,0,0,0,0
2001,04,369000,003,0375,9999,9999, ,85638      ,4,8,12,,Tombstone,9,9,649361,0,0,0,0,0,0,0,0,0,9,9,649361,0,0,0,0,0,0,0,0,0
2001,04,373000,019,0380,8520,9999,1,857267210  ,4,8,12,,Tucson,2564,2564,312044979,41,82,5123374,24,83,5225269,57,527,30310408,2564,2564,312044979,41,82,5123374,24,83,5225269,57,527,30310408
2001,04,377000,027,0383,9360,9999, ,85356      ,4,8,12,,Wellton town,5,5,566835,0,0,0,0,0,0,0,0,0,5,5,566835,0,0,0,0,0,0,0,0,0
2001,04,381000,013,0390,6200,9999, ,85390      ,4,8,12,,Wickenburg town,45,45,3810000,0,0,0,0,0,0,1,6,186000,45,45,3810000,0,0,0,0,0,0,1,6,186000
2001,04,385000,003,0395,9999,9999, ,85643      ,4,8,12,,Willcox,2,2,230000,1,2,65000,1,4,100000,0,0,0,2,2,230000,1,2,65000,1,4,100000,0,0,0
2001,04,389000,005,0400,2620,9999, ,86046      ,4,8,12,,Williams,19,19,1989100,0,0,0,0,0,0,0,0,0,19,19,1989100,0,0,0,0,0,0,0,0,0
